[2024:04:29::7:59:36] AppMain$main || INFO: Starting conversion of file '.\Input\bnav2-1.zip'
[2024:04:29::7:59:36] FileUtil$unzip || INFO: Unzipping '.\Input\bnav2-1.zip' to '.\Temp\0\bnav2-1'
[2024:04:29::7:59:37] AppMain$versionConversion || INFO: Processing line 'S terrain.png assets/minecraft/textures/block/ legacyBTA/blocks.txt 32'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 0,0 - grass_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'grass_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\grass_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 1,0 - stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 2,0 - dirt
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'dirt.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\dirt.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 3,0 - grass_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'grass_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\grass_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 4,0 - planks_oak
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'planks_oak.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\planks_oak.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 5,0 - carved_stone
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'carved_stone.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\carved_stone.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 6,0 - polished_stone_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'polished_stone_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\polished_stone_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 7,0 - brick_clay
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'brick_clay.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\brick_clay.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 8,0 - tnt_side
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'tnt_side.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\tnt_side.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 9,0 - tnt_top
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'tnt_top.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\tnt_top.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 10,0 - tnt_bottom
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'tnt_bottom.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\tnt_bottom.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 11,0 - cobweb
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'cobweb.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\cobweb.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 12,0 - flower_red
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Saved texture 'flower_red.png' to '.\Temp\1\bnav2-1\assets\minecraft\textures\block\flower_red.png'
[2024:04:29::7:59:37] SplitCommand$runCommand || INFO: Processing entry: 13,0 - flower_yellow
